2024/11/09 21:23:41.069021 GET took 15.593µs, cache status true 
2024/11/09 21:23:41.585713 GET took 11.83µs, cache status true 
2024/11/09 21:23:42.121732 GET took 12.046µs, cache status true 
2024/11/09 21:23:42.630154 GET took 13.068µs, cache status true 
2024/11/09 21:23:43.162687 GET took 13.935µs, cache status true 
2024/11/09 21:23:43.687626 GET took 14.022µs, cache status true 
2024/11/09 21:23:44.200141 GET took 14.625µs, cache status true 
2024/11/09 21:23:44.720483 GET took 11.466µs, cache status true 
2024/11/09 21:23:45.242515 GET took 16.635µs, cache status true 
2024/11/09 21:23:45.785025 GET took 27.943µs, cache status true 
2024/11/09 21:23:46.302407 GET took 12.69µs, cache status true 
2024/11/09 21:23:46.815026 GET took 15.616µs, cache status true 
2024/11/09 21:23:47.340916 GET took 13.428µs, cache status true 
2024/11/09 21:23:47.853914 GET took 12.328µs, cache status true 
2024/11/09 21:23:48.389770 GET took 12.191µs, cache status true 
2024/11/09 21:23:48.894777 GET took 11.971µs, cache status true 
2024/11/09 21:23:49.409054 GET took 12.979µs, cache status true 
2024/11/09 21:23:49.927882 GET took 14.331µs, cache status true 
2024/11/09 21:23:50.454750 GET took 98.428µs, cache status true 
2024/11/09 21:23:50.980003 GET took 43.997µs, cache status true 
2024/11/09 21:23:51.507405 GET took 13.511µs, cache status true 
2024/11/09 21:24:24.880350 GET took 1.822197ms, cache status false 
2024/11/09 21:24:25.412501 GET took 1.593944ms, cache status false 
2024/11/09 21:24:25.923826 GET took 16.014µs, cache status true 
2024/11/09 21:24:26.465338 GET took 11.851µs, cache status true 
2024/11/09 21:24:26.974587 GET took 14.152µs, cache status true 
2024/11/09 21:24:27.483015 GET took 12.713µs, cache status true 
2024/11/09 21:24:28.021902 GET took 1.802665ms, cache status false 
2024/11/09 21:24:28.527280 GET took 15.26µs, cache status true 
2024/11/09 21:24:29.083675 GET took 1.667251ms, cache status false 
2024/11/09 21:24:29.602996 GET took 1.616769ms, cache status false 
2024/11/09 21:24:30.125817 GET took 13.05µs, cache status true 
2024/11/09 21:24:30.626296 GET took 14.078µs, cache status true 
2024/11/09 21:24:31.171429 GET took 1.37132ms, cache status false 
2024/11/09 21:24:31.669243 GET took 1.545794ms, cache status false 
2024/11/09 21:24:32.215277 GET took 19.338µs, cache status true 
2024/11/09 21:24:32.724097 GET took 1.515356ms, cache status false 
2024/11/09 21:24:33.244374 GET took 13.621µs, cache status true 
2024/11/09 21:24:33.761711 GET took 12.746µs, cache status true 
2024/11/09 21:24:34.284268 GET took 1.498014ms, cache status false 
2024/11/09 21:24:34.798371 GET took 14.587µs, cache status true 
2024/11/09 21:24:35.342232 GET took 15.261µs, cache status true 
2024/11/09 21:24:35.854062 GET took 13.774µs, cache status true 
2024/11/09 21:24:36.376769 GET took 1.643735ms, cache status false 
2024/11/09 21:24:36.889861 GET took 1.412716ms, cache status false 
2024/11/09 21:24:37.420857 GET took 13.661µs, cache status true 
2024/11/09 21:24:37.937641 GET took 14.835µs, cache status true 
2024/11/09 21:24:38.454680 GET took 21.679µs, cache status true 
2024/11/09 21:24:38.975932 GET took 12.94µs, cache status true 
2024/11/09 21:24:39.510369 GET took 13.185µs, cache status true 
2024/11/09 21:24:40.020228 GET took 1.641933ms, cache status false 
2024/11/09 21:24:40.528358 GET took 16.153µs, cache status true 
2024/11/09 21:24:41.061476 GET took 12.572µs, cache status true 
2024/11/09 21:24:41.592908 GET took 1.416386ms, cache status false 
2024/11/09 21:24:42.095722 GET took 1.459456ms, cache status false 
2024/11/09 21:24:42.626146 GET took 14.73µs, cache status true 
2024/11/09 21:24:43.136609 GET took 14.183µs, cache status true 
2024/11/09 21:24:43.677028 GET took 10.99µs, cache status true 
2024/11/09 21:24:44.201473 GET took 1.191496ms, cache status false 
2024/11/09 21:24:44.701052 GET took 13.618µs, cache status true 
2024/11/09 21:24:45.221020 GET took 10.764µs, cache status true 
2024/11/09 21:24:45.756687 GET took 16.182µs, cache status true 
2024/11/09 21:24:46.271627 GET took 11.366µs, cache status true 
2024/11/09 21:24:46.779343 GET took 14.913µs, cache status true 
2024/11/09 21:24:47.305661 GET took 12.526µs, cache status true 
2024/11/09 21:24:47.829416 GET took 11.784µs, cache status true 
2024/11/09 21:24:48.361434 GET took 14.15µs, cache status true 
2024/11/09 21:24:48.871160 GET took 14.851µs, cache status true 
2024/11/09 21:24:49.400042 GET took 11.538µs, cache status true 
2024/11/09 21:24:49.913017 GET took 11.568µs, cache status true 
2024/11/09 21:24:50.456849 GET took 1.312053ms, cache status false 
2024/11/09 21:24:50.972584 GET took 12.989µs, cache status true 
2024/11/09 21:24:51.485879 GET took 12.979µs, cache status true 
2024/11/09 21:24:51.994380 GET took 1.933699ms, cache status false 
2024/11/09 21:24:52.531629 GET took 15.401µs, cache status true 
2024/11/09 21:24:53.047135 GET took 12.86µs, cache status true 
2024/11/09 21:24:53.563485 GET took 11.741µs, cache status true 
2024/11/09 21:24:54.080738 GET took 16.015µs, cache status true 
2024/11/09 21:24:54.615924 GET took 13.588µs, cache status true 
2024/11/09 21:24:55.142959 GET took 11.433µs, cache status true 
2024/11/09 21:24:55.636936 GET took 14.424µs, cache status true 
2024/11/09 21:24:56.162074 GET took 14.861µs, cache status true 
2024/11/09 21:24:56.705354 GET took 13.699µs, cache status true 
2024/11/09 21:24:57.215147 GET took 13.886µs, cache status true 
2024/11/09 21:24:57.729272 GET took 1.28701ms, cache status false 
2024/11/09 21:24:58.259972 GET took 13.416µs, cache status true 
2024/11/09 21:24:58.767697 GET took 12.753µs, cache status true 
