2024/11/09 21:34:52.259328 GET took 1.82948ms, cache status false 
2024/11/09 21:34:52.781581 GET took 2.77491ms, cache status false 
2024/11/09 21:34:53.302524 GET took 14.56µs, cache status true 
2024/11/09 21:34:53.846680 GET took 11.897µs, cache status true 
2024/11/09 21:34:54.352130 GET took 1.240394ms, cache status false 
2024/11/09 21:34:54.866142 GET took 1.381233ms, cache status false 
2024/11/09 21:34:55.401411 GET took 1.509246ms, cache status false 
2024/11/09 21:34:55.915861 GET took 1.418878ms, cache status false 
2024/11/09 21:34:56.434241 GET took 11.844µs, cache status true 
2024/11/09 21:34:56.954923 GET took 13.75µs, cache status true 
2024/11/09 21:34:57.467440 GET took 11.257µs, cache status true 
2024/11/09 21:34:57.988631 GET took 11.444µs, cache status true 
2024/11/09 21:34:58.516903 GET took 14.299µs, cache status true 
2024/11/09 21:34:59.056417 GET took 15.332µs, cache status true 
2024/11/09 21:34:59.574390 GET took 1.684399ms, cache status false 
2024/11/09 21:35:00.079690 GET took 12.896µs, cache status true 
2024/11/09 21:35:00.601857 GET took 13.197µs, cache status true 
2024/11/09 21:35:01.112975 GET took 12.92µs, cache status true 
2024/11/09 21:35:01.639957 GET took 1.762349ms, cache status false 
2024/11/09 21:35:02.160420 GET took 13.042µs, cache status true 
2024/11/09 21:35:02.703671 GET took 1.472442ms, cache status false 
2024/11/09 21:35:03.214213 GET took 723.573µs, cache status false 
2024/11/09 21:35:03.728498 GET took 1.226027ms, cache status false 
2024/11/09 21:35:04.264515 GET took 16.221µs, cache status true 
2024/11/09 21:35:04.784773 GET took 15.045µs, cache status true 
2024/11/09 21:35:05.302851 GET took 13.532µs, cache status true 
2024/11/09 21:35:05.813234 GET took 1.528302ms, cache status false 
2024/11/09 21:35:06.341369 GET took 16.75µs, cache status true 
2024/11/09 21:35:06.862883 GET took 14.721µs, cache status true 
2024/11/09 21:35:07.374674 GET took 1.692189ms, cache status false 
2024/11/09 21:35:07.903593 GET took 15.287µs, cache status true 
2024/11/09 21:35:08.430963 GET took 1.720033ms, cache status false 
2024/11/09 21:35:08.946496 GET took 18.997µs, cache status true 
2024/11/09 21:35:09.463610 GET took 13.842µs, cache status true 
2024/11/09 21:35:09.988450 GET took 8.694µs, cache status true 
2024/11/09 21:35:10.495456 GET took 1.634678ms, cache status false 
2024/11/09 21:35:11.011260 GET took 18.838µs, cache status true 
2024/11/09 21:35:11.533231 GET took 136.72µs, cache status true 
2024/11/09 21:35:12.069967 GET took 1.392216ms, cache status false 
